# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0001/ ",0078
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"10751-0 ","TINTA BULK INK SUBLIMATICA RZ290 BK 100ML (CX C/ 100)-. ","5,00 ","UN ","17,90 ","51,76 ","89,50","42,17%"
"10752-0 ","TINTA BULK INK SUBLIMATICA RZ290 CYAN 100ML (CX C/ 100)-. ","6,00 ","UN ","16,25 ","56,52 ","97,50","42,03%"
"10753-0 ","TINTA BULK INK SUBLIMATICA RZ290 MAGENTA 100ML (CX C/ 100)-. ","6,00 ","UN ","16,33 ","57,51 ","97,95","41,29%"
"10754-0 ","TINTA BULK INK SUBLIMATICA RZ290 YELLOW 100ML (CX C/ 100)-. ","5,00 ","UN ","15,99 ","46,93 ","79,95","41,30%"
,"Total : ",,,,,,
,,"22,00 ",,"16,59","212,71 ","364,90","41,71%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0020/ ",0078
PB,CAMPINA GRANDE,,,,,,
"19.236 ",TINTA | INKBANK,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12172-0 ","TINTA INKBANK CANON C1800/CL190 BLACK 135 ML-. ","10,00 ","UN ","8,00 ","40,86 ","80,00","48,92%"
"12167-0 ","TINTA INKBANK CANON C1800/CL190 CYAN 70ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","26,58 ","60,00","55,70%"
"12168-0 ","TINTA INKBANK CANON C1800/CL190 MAG 70ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","26,58 ","60,00","55,70%"
"12169-0 ","TINTA INKBANK CANON C1800/CL190 YELL 70ML (CX C/ 100)-. ","10,00 ","UN ","6,00 ","26,59 ","60,00","55,68%"
"12173-0 ","TINTA INKBANK CANON GL10 BK 135 ML (CX C/100)-. ","10,00 ","UN ","8,00 ","44,79 ","80,00","44,01%"
"12170-0 ","TINTA INKBANK CANON GL10 CYAN 70 ML (CX C/ 120)-. ","10,00 ","UN ","6,00 ","29,42 ","60,00","50,97%"
"12171-0 ","TINTA INKBANK CANON GL10 MAG 70 ML (CX C/ 120)-. ","10,00 ","UN ","6,00 ","29,42 ","60,00","50,97%"
"12154-0 ","TINTA INKBANK CANON GL10 YEL 70 ML (CX C/ 120)-. ","10,00 ","UN ","6,00 ","29,42 ","60,00","50,97%"
"12146-0 ","TINTA INKBANK EPSON E850 BLACK 1LT (CX C/ 20)-. ","11,00 ","UN ","43,82 ","237,17 ","482,00","50,79%"
"12147-0 ","TINTA INKBANK EPSON E850 CYAN 1LT (CX C/ 20)-. ","10,00 ","UN ","39,15 ","215,90 ","391,50","44,85%"
"12148-0 ","TINTA INKBANK EPSON E850 MAG 1LT (CX C/ 20)-. ","11,00 ","UN ","39,09 ","237,32 ","430,00","44,81%"
"12149-0 ","TINTA INKBANK EPSON E850 YELL 1LT (CX C/ 20)-. ","10,00 ","UN ","39,15 ","215,77 ","391,50","44,89%"
"12150-0 ","TINTA INKBANK EPSON E850/504/544 BLACK 70ML-. ","60,00 ","UN ","5,75 ","166,43 ","345,00","51,76%"
"12151-0 ","TINTA INKBANK EPSON E850/504/544 CYAN 70ML-. ","35,00 ","UN ","5,71 ","96,32 ","200,00","51,84%"
"12152-0 ","TINTA INKBANK EPSON E850/504/544 MAG 70ML-. ","35,00 ","UN ","5,71 ","95,03 ","200,00","52,48%"
"12153-0 ","TINTA INKBANK EPSON E850/504/544 YELL 70ML-. ","35,00 ","UN ","5,71 ","95,16 ","200,00","52,42%"
"12174-0 ","TINTA INKBANK EPSON E850/664 BLACK 100ML (CX C/ 100)-. ","71,00 ","UN ","6,08 ","222,76 ","432,00","48,44%"
"12175-0 ","TINTA INKBANK EPSON E850/664 CYAN 100ML (CX C/ 100)-. ","26,00 ","UN ","5,85 ","77,21 ","152,00","49,20%"
"12176-0 ","TINTA INKBANK EPSON E850/664 MAG 100ML (CX C/ 100)-. ","26,00 ","UN ","5,85 ","76,59 ","152,00","49,61%"
"12177-0 ","TINTA INKBANK EPSON E850/664 YELL 100ML (CX C/ 100)-. ","32,00 ","UN ","5,88 ","94,99 ","188,00","49,47%"
"12188-0 ","TINTA INKBANK EPSON EL8100/504/544 BLACK 70ML C/ CAIXA-. ","82,00 ","UN ","5,69 ","282,69 ","466,75","39,43%"
"12189-0 ","TINTA INKBANK EPSON EL8100/504/544 CYAN 70ML C/ CAIXA-. ","13,00 ","UN ","5,85 ","44,24 ","76,05","41,83%"
"12190-0 ","TINTA INKBANK EPSON EL8100/504/544 MAG 70ML C/ CAIXA-. ","28,00 ","UN ","5,66 ","95,17 ","158,55","39,97%"
"12191-0 ","TINTA INKBANK EPSON EL8100/504/544 YELL 70ML C/ CAIXA-. ","43,00 ","UN ","5,73 ","145,83 ","246,30","40,79%"
"12182-0 ","TINTA INKBANK UNIVERSAL ET365 BK 1L (CX C/ 20)-. ","35,00 ","UN ","32,11 ","616,30 ","1.123,90","45,16%"
"12192-0 ","TINTA INKBANK UNIVERSAL ET365 CYAN 1L (CX C/ 20)-. ","7,00 ","UN ","29,99 ","126,00 ","209,95","39,99%"
"12184-0 ","TINTA INKBANK UNIVERSAL ET365 MAGENTA 1L (CX C/ 20)-. ","12,00 ","UN ","32,08 ","215,03 ","384,95","44,14%"
"12186-0 ","TINTA INKBANK UNIVERSAL ET365 YELLOW 1L (CX C/ 20)-. ","13,00 ","UN ","32,30 ","233,55 ","419,95","44,39%"
"12163-0 ","TINTA INKBANK UNIVERSAL ET365/664 BLACK 100ML (CX C/ 100)-. ","16,00 ","UN ","6,00 ","41,36 ","96,00","56,92%"
"12164-0 ","TINTA INKBANK UNIVERSAL ET365/664 CYAN 100ML (CX C/ 100)-. ","18,00 ","UN ","5,28 ","46,70 ","95,00","50,84%"
"12165-0 ","TINTA INKBANK UNIVERSAL ET365/664 MAG 100ML (CX C/ 100)-. ","12,00 ","UN ","6,00 ","31,04 ","72,00","56,89%"
"12166-0 ","TINTA INKBANK UNIVERSAL ET365/664 YELL 100ML (CX C/ 100)-. ","13,00 ","UN ","6,00 ","33,61 ","78,00","56,91%"
,"Total : ",,,,,,
,,"734,00 ",,"10,23","3.995,84 ","7.511,40","46,80%"
"19.237 ",TINTA | MARABU,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12195-0 ","TINTA MARAJET DI-LSX 428 YELLOW 500 ML-. ","4,00 ","UN ","186,90 ","484,00 ","747,60","35,26%"
"12194-0 ","TINTA MARAJET DI-LSX 438 MAGENTA 500 ML-. ","5,00 ","UN ","186,90 ","622,69 ","934,50","33,37%"
"12193-0 ","TINTA MARAJET DI-LSX 459 CYAN 500 ML-. ","2,00 ","UN ","186,90 ","242,00 ","373,80","35,26%"
,"Total : ",,,,,,
,,"11,00 ",,"186,90","1.348,69 ","2.055,90","34,40%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0021/ ",0078
PB,CAMPINA GRANDE,,,,,,
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115050-0LONA UNIBANNER BRILHO F.P. 300x500 380g 1,42mt-. ",,"71,00 ","M2 ","7,65 ","312,66 ","543,15","42,44%"
"20115047-0LONA UNIBANNER BRILHO F.P. 300x500 380g 3,20mt-. ",,"480,00 ","M2 ","7,75 ","2.190,29 ","3.720,00","41,12%"
"20115061-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,50mt-. ",,"125,00 ","M2 ","8,30 ","616,64 ","1.037,50","40,56%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"160,00 ","M2 ","8,33 ","798,21 ","1.333,00","40,12%"
"20115133-0LONA UNIBANNER BRILHO F.P. 500x500 280g 9*9 320cm-. ",,"2.080,00 ","M2 ","5,70 ","7.614,05 ","11.856,00","35,78%"
"2012050-0LONA UNIBANNER FOSCA F.P. 300x500 380g 3,20mt-. ",,"160,00 ","M2 ","7,47 ","715,86 ","1.195,00","40,10%"
,"Total : ",,,,,,
,,"3.076,00 ",,"6,40","12.247,70 ","19.684,65","37,78%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011100-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,06mt-. ",,"689,00 ","M2 ","5,79 ","2.377,46 ","3.991,80","40,44%"
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"254,00 ","M2 ","5,43 ","863,83 ","1.377,95","37,31%"
"2011104-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,52mt-. ",,"152,00 ","M2 ","5,85 ","525,04 ","889,20","40,95%"
"2011115-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,06mt-. ",,"424,00 ","M2 ","5,70 ","1.414,91 ","2.417,00","41,46%"
"2011117-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,52mt-. ",,"76,00 ","M2 ","5,60 ","256,53 ","425,60","39,73%"
"2011045-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,06mt-. ",,"159,00 ","M2 ","5,12 ","486,06 ","814,80","40,35%"
"2011046-0VINIL UNIPRO UT80 ECONOMY (BV2000/NV2010) GLOSSY C/ 1,27mt-. ",,"1.397,00 ","M2 ","4,95 ","4.196,02 ","6.910,46","39,28%"
"2011039-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.06mt-. ",,"212,00 ","M2 ","6,73 ","839,85 ","1.425,70","41,09%"
"2011006-0VINIL UNITRAMA UT100BK ( NV2112/2204 ) C/ 1.27mt-. ",,"63,50 ","M2 ","6,50 ","233,48 ","412,75","43,43%"
"2011053-0VINIL UNITRAMA UT100BK MATTE ( NV2113/2205 ) C/ 1.27mt-. ",,"63,50 ","M2 ","6,80 ","257,64 ","431,80","40,33%"
"2011018-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,06mt-. ",,"265,00 ","M2 ","7,32 ","1.188,84 ","1.940,20","38,73%"
"2011019-0VINIL UNITRAMA UT100CG (NV4002) TRANSPARENTE GLOSSY C/ 1,27mt-. ",,"127,00 ","M2 ","6,70 ","554,30 ","850,90","34,86%"
"2011070-0VINIL UNITRAMA UT100WD (NV3801) PERMANENTE GREY MATTE C/ 1,06mt-. ",,"159,00 ","M2 ","8,05 ","837,77 ","1.280,00","34,55%"
,"Total : ",,,,,,
,,"4.041,00 ",,"5,73","14.031,74 ","23.168,16","39,44%"
,2003.2051 ACM | UNIBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013108-0ACM UNIBOND ESP.GOLD MIRROR 3mm 1.22 x 5.00mt T829-. ",,"1,00 ","UN ","852,00 ","510,95 ","852,00","40,03%"
,"Total : ",,,,,,
,,"1,00 ",,"852,00","510,95 ","852,00","40,03%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013111-0ACM UNIBOND AMARELO ALTO BRILHO 3mm 1.50 x 5.00mt 8821-. ",,"1,00 ","UN ","590,00 ","362,56 ","590,00","38,55%"
"2013065-0ACM UNIBOND AZUL ESCURO ALTO BRILHO 3mm 1.50 x 5.00mt T808-. ",,"30,00 ","UN ","595,00 ","10.905,90 ","17.850,00","38,90%"
"2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm 1.50 x 5.00mt T805-. ",,"1,00 ","UN ","610,00 ","355,41 ","610,00","41,74%"
"2013074-0ACM UNIBOND GRAFITE 3mm 1.50 x 5.00mt 8863-. ",,"3,00 ","UN ","605,00 ","1.103,84 ","1.815,00","39,18%"
"2013077-0ACM UNIBOND LARANJA ALTO BRILHO 3mm 1.50 x 5.00mt T801-. ",,"12,00 ","UN ","565,00 ","4.340,41 ","6.780,00","35,98%"
"2013211-0ACM UNIBOND PINK ALTO BRILHO 3mm 1.50 x 5.00mt GMH 200407-. ",,"1,00 ","UN ","610,00 ","334,98 ","610,00","45,09%"
"2013081-0ACM UNIBOND PRATA METALIZADO 3mm 1.50 x 5.00mt 8801-. ",,"2,00 ","UN ","575,00 ","718,30 ","1.150,00","37,54%"
"2013085-0ACM UNIBOND PRETO ALTO BRILHO 3mm 1.50 x 5.00mt T804-. ",,"21,00 ","UN ","600,00 ","7.596,00 ","12.600,00","39,71%"
"2013050-0ACM UNIBOND PRETO FOSCO 3mm 1.50 x 5.00mt UNI8866-. ",,"4,00 ","UN ","590,00 ","1.458,98 ","2.360,00","38,18%"
"2013200-0ACM UNIBOND RUBI 3mm 1.50 x 5.00mt 8833-. ",,"1,00 ","UN ","590,00 ","362,10 ","590,00","38,63%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0022/ ",0078
PB,CAMPINA GRANDE,,,,,,
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
,"Total : ",,,,,,
,,"76,00 ",,"591,51","27.538,50 ","44.955,00","38,74%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013219-0ACM SIGNBOND AMARELO ALTO BRILHO 3mm 1.22 x 5.00mt T8821-. ",,"2,00 ","UN ","426,00 ","521,71 ","852,00","38,77%"
"2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-. ",,"4,00 ","UN ","426,25 ","1.059,34 ","1.705,00","37,87%"
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"75,00 ","UN ","389,16 ","18.697,75 ","29.187,00","35,94%"
"2013125-0ACM SIGNBOND BRANCO FOSCO 3mm 1.22 x 5.00mt 8813-. ",,"75,00 ","UN ","408,53 ","19.586,15 ","30.640,00","36,08%"
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"2,00 ","UN ","409,00 ","530,05 ","818,00","35,20%"
"2013134-0ACM SIGNBOND LARANJA ALTO BRILHO 3mm 1.22 x 5.00mt T801-. ",,"7,00 ","UN ","400,00 ","1.839,49 ","2.800,00","34,30%"
"2013126-0ACM SIGNBOND PRATA METALIZADO 3mm 1.22 x 5.00mt 8801-. ",,"1,00 ","UN ","415,00 ","262,98 ","415,00","36,63%"
"2013164-0ACM SIGNBOND PURPLE ALTO BRILHO 3mm 1.22 x 5.00mt GZS200407-. ",,"2,00 ","UN ","410,00 ","525,46 ","820,00","35,92%"
"2013137-0ACM SIGNBOND RUBI 3mm 1.22 x 5.00mt UNI8833-. ",,"2,00 ","UN ","400,00 ","529,87 ","800,00","33,77%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"1,00 ","UN ","410,00 ","263,05 ","410,00","35,84%"
,"Total : ",,,,,,
,,"171,00 ",,"400,27","43.815,84 ","68.447,00","35,99%"
,2003.2054 ACM | PVDF,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013167-0ACM UNIBOND ARCHIE BRANCO FOSCO PVDF4mm (0.30) 1.50 x 5.00mt (UNI8813)-. ",,"1,00 ","UN ","1.250,00 ","686,90 ","1.250,00","45,05%"
"2013115-0ACM UNIBOND ARCHIE PRETO FOSCO PVDF 4mm (0.30) 1.50 x 5.00mt (8866)-. ",,"4,00 ","UN ","1.200,00 ","2.781,57 ","4.800,00","42,05%"
"2013192-0ACM UNIBOND ARCHIE VERMELHO FOSCO PVDF 4mm (0.30) 1.50 x 5.00mt (8829)-. ",,"1,00 ","UN ","1.390,00 ","735,32 ","1.390,00","47,10%"
,"Total : ",,,,,,
,,"6,00 ",,"1.240,00","4.203,79 ","7.440,00","43,50%"
,2015.2012 PSAI | MAXPOLI,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017503-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA* 180 (2mm)-. ",,"1,00 ","UN ","85,00 ","50,68 ","85,00","40,38%"
,"Total : ",,,,,,
,,"1,00 ",,"85,00","50,68 ","85,00","40,37%"
,2020.2016 CHAPA PVC | UNIPOL,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2019121-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 05MM-. ",,"1,00 ","UN ","100,00 ","59,32 ","100,00","40,68%"
"2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-. ",,"6,00 ","UN ","174,33 ","633,15 ","1.046,00","39,47%"
"2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-. ",,"5,00 ","UN ","360,00 ","1.079,33 ","1.800,00","40,04%"
,"Total : ",,,,,,
,,"12,00 ",,"245,50","1.771,79 ","2.946,00","39,86%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260020-0ACRILICO UNIGLASS BRANCO 3mm c/ 1,00mt X 2,00mt NEW-. ",,"5,00 ","UN ","310,00 ","919,60 ","1.550,00","40,67%"
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","198,00 ","235,34 ","396,00","40,57%"
"20260032-0ACRILICO UNIGLASS PRETO 2mm c/ 1,00mt X 2,00mt NEW-. ",,"1,00 ","UN ","220,00 ","130,55 ","220,00","40,66%"
,"Total : ",,,,,,
,,"8,00 ",,"270,75","1.285,49 ","2.166,00","40,65%"
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0023/ ",0078
PB,CAMPINA GRANDE,,,,,,
,2026.2033 ACRILICO | BOLD,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260119-0ACRILICO BOLD CAST LARANJA 2MM 1,00 X 2,00MT REF.LA460-. ",,"2,00 ","UN ","320,00 ","376,51 ","640,00","41,17%"
,"Total : ",,,,,,
,,"2,00 ",,"320,00","376,51 ","640,00","41,17%"
,2030.2003 ACESSÓRIOS SIGN | SOLVENTE,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015036-0PRIMER MAXIMUS UNIBOND P/ ACM LATA 900ML-. ",,"1,00 ","UN ","120,00 ","70,05 ","120,00","41,63%"
,"Total : ",,,,,,
,,"1,00 ",,"120,00","70,05 ","120,00","41,63%"
,2030.2005 ACESSÓRIOS SIGN | FITA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2015049-0FITA FUSION DUPLA FACE P/ ACM BRANCA 1,1 MM 19 X 20 MM-. ",,"12,00 ","UN ","75,00 ","488,27 ","900,00","45,75%"
"2015041-0FITA NORBOND AD 2163F-3BI 19mmX20m-. ",,"11,00 ","UN ","110,00 ","718,10 ","1.210,00","40,65%"
"2015043-0FITA NORBOND AD FA2000-3BI 19mmX20m-. ",,"37,00 ","UN ","157,70 ","3.484,02 ","5.835,00","40,29%"
,"Total : ",,,,,,
,,"60,00 ",,"132,42","4.690,39 ","7.945,00","40,96%"
,"TOTAL CIDADE: ","8.481,00 ",,,"121.337,91 ","196.849,11","38,36%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0024/ ",0078
PB,CATOLE DO ROCHA,,,,,,
,2001.2030 LONA | UNIBANNER FUNDO PRETO,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20115044-0LONA UNIBANNER BRILHO F.P. 300x500 440g 1,42mt-. ",,"71,00 ","M2 ","8,04 ","342,55 ","571,00","40,01%"
"20115059-0LONA UNIBANNER BRILHO F.P. 300x500 440g 2,20mt-. ",,"110,00 ","M2 ","8,31 ","548,39 ","914,00","40,00%"
"20115046-0LONA UNIBANNER BRILHO F.P. 300x500 440g 3,20mt-. ",,"80,00 ","M2 ","8,08 ","398,79 ","646,00","38,27%"
"2012050-0LONA UNIBANNER FOSCA F.P. 300x500 380g 3,20mt-. ",,"90,00 ","M2 ","7,71 ","415,75 ","694,00","40,09%"
,"Total : ",,,,,,
,,"351,00 ",,"8,05","1.705,49 ","2.825,00","39,63%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"190,50 ","M2 ","5,67 ","647,87 ","1.080,00","40,01%"
"2011116-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,27mt-. ",,"63,50 ","M2 ","5,37 ","214,17 ","341,00","37,19%"
"2011013-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,27mt-. ",,"63,50 ","M2 ","8,03 ","304,86 ","510,00","40,22%"
"2011015-0VINIL UNITRAMA UT100GP (NV5002) C/ 1,52mt-. ",,"76,00 ","M2 ","8,37 ","379,19 ","636,00","40,38%"
,"Total : ",,,,,,
,,"393,50 ",,"6,52","1.546,10 ","2.567,00","39,77%"
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013067-0ACM UNIBOND BRANCO ALTO BRILHO 3mm 1.50 x 5.00mt T805-. ",,"8,00 ","UN ","580,63 ","2.953,41 ","4.645,00","36,42%"
"2013197-0ACM UNIBOND BRANCO FOSCO 3mm 1.50 x 5.00mt UNI8813-. ",,"12,00 ","UN ","569,92 ","4.412,16 ","6.839,00","35,49%"
"2013074-0ACM UNIBOND GRAFITE 3mm 1.50 x 5.00mt 8863-. ",,"10,00 ","UN ","569,00 ","3.679,48 ","5.690,00","35,33%"
"2013077-0ACM UNIBOND LARANJA ALTO BRILHO 3mm 1.50 x 5.00mt T801-. ",,"5,00 ","UN ","570,20 ","1.853,67 ","2.851,00","34,98%"
"2013097-0ACM UNIBOND VERMELHO ALTO BRILHO 3mm 1.50 x 5.00mt T802-. ",,"4,00 ","UN ","575,00 ","1.477,68 ","2.300,00","35,75%"
,"Total : ",,,,,,
,,"39,00 ",,"572,44","14.376,40 ","22.325,00","35,60%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013124-0ACM SIGNBOND BRANCO ALTO BRILHO 3mm 1.22 x 5.00mt T805-. ",,"3,00 ","UN ","393,67 ","753,17 ","1.181,00","36,23%"
"2013138-0ACM SIGNBOND DOURADO 3mm 1.22 x 5.00mt 8810-. ",,"5,00 ","UN ","419,00 ","1.325,11 ","2.095,00","36,75%"
"2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-. ",,"2,00 ","UN ","400,00 ","524,42 ","800,00","34,45%"
"2013157-0ACM SIGNBOND SILVER GREY 3mm 1.22 x 5.00mt 8802-. ",,"13,00 ","UN ","413,46 ","3.412,94 ","5.375,00","36,50%"
"2013129-0ACM SIGNBOND VERMELHO ALTO BRILHO 3mm 1.22 x 5.00mt T802-. ",,"3,00 ","UN ","425,00 ","795,39 ","1.275,00","37,62%"
,"Total : ",,,,,,
,,"26,00 ",,"412,54","6.811,04 ","10.726,00","36,50%"
,2015.2012 PSAI | MAXPOLI,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2017503-0CHAPA PS RES PSAI 1,00 X 2,00 MT BRANCA* 180 (2mm)-. ",,"4,00 ","UN ","84,50 ","202,74 ","338,00","40,02%"
,"Total : ",,,,,,
,,"4,00 ",,"84,50","202,74 ","338,00","40,02%"
,"TOTAL CIDADE: ","813,50 ",,,"24.641,77 ","38.781,00","36,46%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0025/ ",0078
PB,CONDE,,,,,,
,2003.2052 ACM | UNIBOND 1.50,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013085-0ACM UNIBOND PRETO ALTO BRILHO 3mm 1.50 x 5.00mt T804-. ",,"2,00 ","UN ","575,00 ","723,43 ","1.150,00","37,09%"
,"Total : ",,,,,,
,,"2,00 ",,"575,00","723,43 ","1.150,00","37,09%"
,"TOTAL CIDADE: ","2,00 ",,,"723,43 ","1.150,00","37,09%"

RMOV336 - Conferências de Saídas por Divisão de Produtos,,"Emissão: ","05/12/2025 09:02 ","h ",,"Página :0026/ ",0078
PB,COREMAS,,,,,,
"19.237 ",TINTA | MARABU,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"12200-0 ","TINTA MARAJET DI-E 489 BLACK GRF 1 L-. ","1,00 ","UN ","279,00 ","184,47 ","279,00","33,88%"
,"Total : ",,,,,,
,,"1,00 ",,"279,00","184,47 ","279,00","33,88%"
,2002.2001 ADESIVO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2011101-0VINIL UNIPRO INTERM. (NV 2012) C/ 1,27mt-. ",,"63,50 ","M2 ","5,23 ","216,10 ","332,10","34,93%"
,"Total : ",,,,,,
,,"63,50 ",,"5,23","216,10 ","332,10","34,93%"
,2003.2053 ACM | SIGNBOND 1.22,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"2013134-0ACM SIGNBOND LARANJA ALTO BRILHO 3mm 1.22 x 5.00mt T801-. ",,"1,00 ","UN ","420,00 ","261,87 ","420,00","37,65%"
"2013127-0ACM SIGNBOND PRETO ALTO BRILHO 3mm 1.22 x 5.00mt T804-. ",,"1,00 ","UN ","420,00 ","263,05 ","420,00","37,37%"
,"Total : ",,,,,,
,,"2,00 ",,"420,00","524,92 ","840,00","37,51%"
,2026.2001 ACRILICO | UNITRAMA,,,,,,
"Produto ","Descrição ","Quantidade ","UN ","Preço Médio ","Custo Total ","Vlr. Total ",%Margem
"20260016-0ACRILICO UNIGLASS CRISTAL 2mm c/ 1,00mt X 2,00mt NEW-. ",,"2,00 ","UN ","168,50 ","235,34 ","337,00","30,17%"
,"Total : ",,,,,,
,,"2,00 ",,"168,50","235,34 ","337,00","30,17%"
,"TOTAL CIDADE: ","68,50 ",,,"1.160,83 ","1.788,10","35,08%"

